plot_id,image_file_name,run_id,camera_sn,absolute_sensor_longitude,absolute_sensor_latitude,sampling_time_utc,sampling_date,PCTHEAD,plot_name,rep
17ASH10002,3671509273_20170508_102527_IMG_0615.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6197936975,39.1329880228,15:32:13,2017-05-08,100,CHISHOLM,1
17ASH10002,0671720440_20170508_092723_IMG_0613.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6197928998,39.1329900697,15:32:13,2017-05-08,100,CHISHOLM,1
17ASH10002,3671509273_20170508_102527_IMG_0616.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6197933929,39.1329932872,15:32:13,2017-05-08,100,CHISHOLM,1
17ASH10002,3671510201_20170508_102534_IMG_0634.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6197932053,39.1329913013,15:32:13,2017-05-08,100,CHISHOLM,1
17ASH10002,3671510201_20170508_102534_IMG_0635.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6197927265,39.1329969315,15:32:14,2017-05-08,100,CHISHOLM,1
17ASH10002,0671720440_20170508_092723_IMG_0614.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6197929089,39.1329956378,15:32:14,2017-05-08,100,CHISHOLM,1
17ASH10002,3671509273_20170508_102527_IMG_0617.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6197924547,39.1329988179,15:32:14,2017-05-08,100,CHISHOLM,1
17ASH10003,3671510201_20170508_102534_IMG_0681.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198126241,39.1329618854,15:32:51,2017-05-08,50,DODGE,1
17ASH10003,0671720440_20170508_092723_IMG_0660.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198125254,39.1329627573,15:32:51,2017-05-08,50,DODGE,1
17ASH10003,0671720440_20170508_092723_IMG_0661.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198127045,39.1329594995,15:32:52,2017-05-08,50,DODGE,1
17ASH10003,0671720440_20170508_092723_IMG_0662.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198129962,39.1329563341,15:32:53,2017-05-08,50,DODGE,1
17ASH10003,3671510201_20170508_102534_IMG_0682.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198126037,39.1329587136,15:32:52,2017-05-08,50,DODGE,1
17ASH10003,0671720440_20170508_092723_IMG_0659.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198129063,39.1329658734,15:32:50,2017-05-08,50,DODGE,1
17ASH10003,3671510201_20170508_102534_IMG_0679.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198130899,39.1329679764,15:32:50,2017-05-08,50,DODGE,1
17ASH10003,3671510201_20170508_102534_IMG_0680.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198129126,39.1329649996,15:32:51,2017-05-08,50,DODGE,1
17ASH10003,0671720440_20170508_092723_IMG_0658.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198132665,39.132968917,15:32:50,2017-05-08,50,DODGE,1
17ASH10003,3671509273_20170508_102527_IMG_0660.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198130998,39.1329697425,15:32:49,2017-05-08,50,DODGE,1
17ASH10003,3671509273_20170508_102527_IMG_0661.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198129313,39.1329665046,15:32:50,2017-05-08,50,DODGE,1
17ASH10003,3671509273_20170508_102527_IMG_0662.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198127442,39.1329634735,15:32:51,2017-05-08,50,DODGE,1
17ASH10003,3671509273_20170508_102527_IMG_0663.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198127186,39.1329604548,15:32:52,2017-05-08,50,DODGE,1
17ASH10003,3671509273_20170508_102527_IMG_0664.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198127274,39.1329571034,15:32:52,2017-05-08,50,DODGE,1
17ASH10004,3671509273_20170508_102527_IMG_1232.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198304545,39.1329624569,15:40:34,2017-05-08,40,COLT,1
17ASH10004,3671509273_20170508_102527_IMG_1231.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198302774,39.1329591288,15:40:33,2017-05-08,40,COLT,1
17ASH10004,3671510201_20170508_102534_IMG_1249.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198301738,39.1329577392,15:40:33,2017-05-08,40,COLT,1
17ASH10004,3671509273_20170508_102527_IMG_1233.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198303712,39.1329659599,15:40:35,2017-05-08,40,COLT,1
17ASH10004,3671510201_20170508_102534_IMG_1251.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.619830367,39.1329643652,15:40:35,2017-05-08,40,COLT,1
17ASH10004,3671510201_20170508_102534_IMG_1252.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198309503,39.1329679989,15:40:35,2017-05-08,40,COLT,1
17ASH10004,0671720440_20170508_092723_IMG_1230.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198302802,39.1329631651,15:40:34,2017-05-08,40,COLT,1
17ASH10004,0671720440_20170508_092723_IMG_1231.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198306496,39.1329669657,15:40:35,2017-05-08,40,COLT,1
17ASH10004,3671510201_20170508_102534_IMG_1250.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198303658,39.1329609685,15:40:34,2017-05-08,40,COLT,1
17ASH10004,0671720440_20170508_092723_IMG_1228.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198302594,39.1329565697,15:40:33,2017-05-08,40,COLT,1
17ASH10004,0671720440_20170508_092723_IMG_1229.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198303678,39.1329598784,15:40:34,2017-05-08,40,COLT,1
17ASH10004,3671509273_20170508_102527_IMG_1234.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198310444,39.1329693253,15:40:36,2017-05-08,40,COLT,1
17ASH10005,3671510201_20170508_102534_IMG_1304.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198483941,39.1329584088,15:41:18,2017-05-08,100,EVEREST,1
17ASH10005,0671720440_20170508_092723_IMG_1282.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198487798,39.1329637863,15:41:17,2017-05-08,100,EVEREST,1
17ASH10005,0671720440_20170508_092723_IMG_1283.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198480943,39.1329597541,15:41:17,2017-05-08,100,EVEREST,1
17ASH10005,3671510201_20170508_102534_IMG_1302.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198495397,39.1329662975,15:41:16,2017-05-08,100,EVEREST,1
17ASH10005,3671510201_20170508_102534_IMG_1303.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198486693,39.1329626038,15:41:17,2017-05-08,100,EVEREST,1
17ASH10005,0671720440_20170508_092723_IMG_1281.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198492593,39.132967409,15:41:16,2017-05-08,100,EVEREST,1
17ASH10005,3671509273_20170508_102527_IMG_1283.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198487572,39.132968579,15:41:15,2017-05-08,100,EVEREST,1
17ASH10005,3671509273_20170508_102527_IMG_1284.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198494693,39.1329646113,15:41:16,2017-05-08,100,EVEREST,1
17ASH10005,3671509273_20170508_102527_IMG_1285.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198484716,39.132960915,15:41:17,2017-05-08,100,EVEREST,1
17ASH10005,3671509273_20170508_102527_IMG_1286.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.619848362,39.1329566152,15:41:18,2017-05-08,100,EVEREST,1
17ASH10006,3671509273_20170508_102527_IMG_1850.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198671745,39.1329620269,15:48:56,2017-05-08,100,TX05V7259,1
17ASH10006,3671510201_20170508_102534_IMG_1869.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198672848,39.1329639031,15:48:57,2017-05-08,100,TX05V7259,1
17ASH10006,3671509273_20170508_102527_IMG_1849.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198668851,39.132958255,15:48:55,2017-05-08,100,TX05V7259,1
17ASH10006,3671510201_20170508_102534_IMG_1867.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198668798,39.1329566962,15:48:55,2017-05-08,100,TX05V7259,1
17ASH10006,3671510201_20170508_102534_IMG_1868.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198671774,39.1329605674,15:48:56,2017-05-08,100,TX05V7259,1
17ASH10006,3671510201_20170508_102534_IMG_1870.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198674659,39.1329674566,15:48:58,2017-05-08,100,TX05V7259,1
17ASH10006,3671509273_20170508_102527_IMG_1851.JPG,phemu_20170508_152345_20170508_171747,CAM_3671509273,-96.6198672558,39.1329654522,15:48:57,2017-05-08,100,TX05V7259,1
17ASH10007,0671720440_20170508_100026_IMG_0020.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.6198878925,39.1329685677,15:57:13,2017-05-08,50,OK04505,1
17ASH10007,3671510201_20170508_105845_IMG_0022.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198878925,39.1329685677,15:57:13,2017-05-08,50,OK04505,1
17ASH10007,3671510201_20170508_105845_IMG_0024.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198880847,39.1329601116,15:57:15,2017-05-08,50,OK04505,1
17ASH10007,3671510201_20170508_105845_IMG_0025.JPG,phemu_20170508_152345_20170508_171747,CAM_3671510201,-96.6198879735,39.1329558568,15:57:16,2017-05-08,50,OK04505,1
17ASH10007,0671720440_20170508_100026_IMG_0021.JPG,phemu_20170508_152345_20170508_171747,CAM_0671720440,-96.619887405,39.1329648368,15:57:14,2017-05-08,50,OK04505,1
