plot_id,image_file_name,run_id,camera_sn,absolute_sensor_longitude,absolute_sensor_latitude,sampling_time_utc,sampling_date,AWNS,plot_name,rep
17ASH10002,0671720440_20170510_085040_IMG_0492.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.619793058,39.1329994519,14:53:50,2017-05-10,AWNED,CHISHOLM,1
17ASH10002,3671510201_20170510_094857_IMG_0495.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6197933394,39.1329907544,14:53:49,2017-05-10,AWNED,CHISHOLM,1
17ASH10002,0671720440_20170510_085040_IMG_0491.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.619793126,39.1329922817,14:53:49,2017-05-10,AWNED,CHISHOLM,1
17ASH10002,3671509273_20170510_094843_IMG_0493.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6197931327,39.1329917413,14:53:49,2017-05-10,AWNED,CHISHOLM,1
17ASH10002,3671510201_20170510_094857_IMG_0496.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6197932343,39.132997996,14:53:50,2017-05-10,AWNED,CHISHOLM,1
17ASH10002,3671509273_20170510_094843_IMG_0494.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6197930762,39.1329989117,14:53:50,2017-05-10,AWNED,CHISHOLM,1
17ASH10005,3671509273_20170510_100718_IMG_0022.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6198486202,39.1329644047,15:06:01,2017-05-10,AWNED,EVEREST,1
17ASH10005,0671720440_20170510_090915_IMG_0019.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.6198488089,39.1329656699,15:06:00,2017-05-10,AWNED,EVEREST,1
17ASH10005,0671720440_20170510_090915_IMG_0021.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.619848548,39.1329579614,15:06:02,2017-05-10,AWNED,EVEREST,1
17ASH10005,3671509273_20170510_100718_IMG_0021.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.619848898,39.1329681764,15:06:00,2017-05-10,AWNED,EVEREST,1
17ASH10005,3671510201_20170510_100732_IMG_0026.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6198482334,39.1329580271,15:06:02,2017-05-10,AWNED,EVEREST,1
17ASH10005,3671510201_20170510_100732_IMG_0025.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6198489126,39.1329619061,15:06:02,2017-05-10,AWNED,EVEREST,1
17ASH10005,0671720440_20170510_090915_IMG_0020.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.6198487382,39.1329615872,15:06:01,2017-05-10,AWNED,EVEREST,1
17ASH10005,3671509273_20170510_100718_IMG_0024.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6198478856,39.1329566776,15:06:03,2017-05-10,AWNED,EVEREST,1
17ASH10005,3671509273_20170510_100718_IMG_0023.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.619848569,39.1329607728,15:06:02,2017-05-10,AWNED,EVEREST,1
17ASH10005,3671510201_20170510_100732_IMG_0024.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6198482933,39.1329655243,15:06:01,2017-05-10,AWNED,EVEREST,1
17ASH10006,3671510201_20170510_100732_IMG_0540.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6198671787,39.1329670543,15:13:01,2017-05-10,AWNED,TX05V7259,1
17ASH10006,3671509273_20170510_100718_IMG_0535.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.619866847,39.1329573262,15:12:58,2017-05-10,AWNED,TX05V7259,1
17ASH10006,3671509273_20170510_100718_IMG_0537.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6198674954,39.1329645201,15:13:00,2017-05-10,AWNED,TX05V7259,1
17ASH10006,3671510201_20170510_100732_IMG_0539.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6198676197,39.1329632343,15:13:00,2017-05-10,AWNED,TX05V7259,1
17ASH10006,3671509273_20170510_100718_IMG_0536.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6198667637,39.1329608292,15:12:59,2017-05-10,AWNED,TX05V7259,1
17ASH10006,3671509273_20170510_100718_IMG_0538.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6198673626,39.1329684636,15:13:01,2017-05-10,AWNED,TX05V7259,1
17ASH10006,3671510201_20170510_100732_IMG_0537.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6198668456,39.1329559928,15:12:58,2017-05-10,AWNED,TX05V7259,1
17ASH10006,3671510201_20170510_100732_IMG_0538.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6198669683,39.1329595631,15:12:59,2017-05-10,AWNED,TX05V7259,1
17ASH10007,3671510201_20170510_100732_IMG_0791.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6198877355,39.1329656724,15:16:25,2017-05-10,AWNED,OK04505,1
17ASH10007,0671720440_20170510_091940_IMG_0018.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.6198874627,39.1329634685,15:16:25,2017-05-10,AWNED,OK04505,1
17ASH10007,3671509273_20170510_100718_IMG_0789.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.619887649,39.1329644634,15:16:25,2017-05-10,AWNED,OK04505,1
17ASH10007,3671509273_20170510_100718_IMG_0790.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6198873587,39.1329610608,15:16:26,2017-05-10,AWNED,OK04505,1
17ASH10007,3671510201_20170510_100732_IMG_0792.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.619887447,39.1329618735,15:16:26,2017-05-10,AWNED,OK04505,1
17ASH10007,3671509273_20170510_100718_IMG_0791.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6198882055,39.1329568707,15:16:27,2017-05-10,AWNED,OK04505,1
17ASH10007,3671510201_20170510_100732_IMG_0793.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6198877636,39.1329579698,15:16:26,2017-05-10,AWNED,OK04505,1
17ASH10007,0671720440_20170510_091940_IMG_0017.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.6198875775,39.1329672729,15:16:24,2017-05-10,AWNED,OK04505,1
17ASH10007,0671720440_20170510_091940_IMG_0020.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.6198881123,39.132956202,15:16:27,2017-05-10,AWNED,OK04505,1
17ASH10007,3671509273_20170510_100718_IMG_0788.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6198876567,39.1329683556,15:16:24,2017-05-10,AWNED,OK04505,1
17ASH10007,0671720440_20170510_091940_IMG_0019.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.6198872679,39.1329599778,15:16:26,2017-05-10,AWNED,OK04505,1
17ASH10008,3671510201_20170510_100732_IMG_1275.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6199049709,39.1329670786,15:22:59,2017-05-10,AWNED,LCH08-80,1
17ASH10008,0671720440_20170510_091940_IMG_0500.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.6199048484,39.1329624723,15:22:57,2017-05-10,AWNED,LCH08-80,1
17ASH10008,3671509273_20170510_100718_IMG_1271.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6199050536,39.1329615305,15:22:57,2017-05-10,AWNED,LCH08-80,1
17ASH10008,0671720440_20170510_091940_IMG_0499.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.6199052821,39.1329588683,15:22:57,2017-05-10,AWNED,LCH08-80,1
17ASH10008,3671510201_20170510_100732_IMG_1274.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6199048838,39.1329634821,15:22:58,2017-05-10,AWNED,LCH08-80,1
17ASH10008,0671720440_20170510_091940_IMG_0501.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.6199049805,39.1329661058,15:22:58,2017-05-10,AWNED,LCH08-80,1
17ASH10008,0671720440_20170510_091940_IMG_0502.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.6199049322,39.1329699429,15:22:59,2017-05-10,AWNED,LCH08-80,1
17ASH10008,3671509273_20170510_100718_IMG_1273.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6199048579,39.1329690584,15:22:59,2017-05-10,AWNED,LCH08-80,1
17ASH10008,3671509273_20170510_100718_IMG_1270.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6199052729,39.1329577689,15:22:56,2017-05-10,AWNED,LCH08-80,1
17ASH10008,3671509273_20170510_100718_IMG_1272.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.61990496,39.1329653396,15:22:58,2017-05-10,AWNED,LCH08-80,1
17ASH10008,3671510201_20170510_100732_IMG_1273.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6199051654,39.132959929,15:22:57,2017-05-10,AWNED,LCH08-80,1
17ASH10009,3671510201_20170510_100732_IMG_1332.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6199254937,39.1329615516,15:23:45,2017-05-10,AWNED,CUSTER,1
17ASH10009,3671509273_20170510_100718_IMG_1330.JPG,phemu_20170510_144610_20170510_163153,CAM_3671509273,-96.6199247555,39.1329597707,15:23:45,2017-05-10,AWNED,CUSTER,1
17ASH10009,3671510201_20170510_100732_IMG_1331.JPG,phemu_20170510_144610_20170510_163153,CAM_3671510201,-96.6199255827,39.1329657789,15:23:44,2017-05-10,AWNED,CUSTER,1
17ASH10009,0671720440_20170510_091940_IMG_0558.JPG,phemu_20170510_144610_20170510_163153,CAM_0671720440,-96.6199257838,39.1329629,15:23:45,2017-05-10,AWNED,CUSTER,1
